S.No,Model,Category Code,Category,Estimated Energy (kWh),Avg CO2 Emission (g),Tokens Used,Grid Intensity (gCO2/kWh),Measurement Method,Source Reference,Experiment Batch ID
1,Llama-3 70B,G2,General Medium,0.00032,0.10017,906,623,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-4
2,Claude 3,G3,General Long,0.00106,0.5782,847,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-9
3,GPT-4,P4,Physics Quantum,0.00244,1.2771,1274,240,eco2AI-based regional factor estimation,Modeled from datacenter regional emissions,B2025-Q1-EXP-15
4,Grok-1.5,C2,Code API/JSON,0.0018,0.9207,1412,623,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-11
5,Llama-3 70B,G3,General Long,0.000312,0.13,1174,20,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-1
6,Grok-1.5,M4,Math Advanced,0.002898,1.3632,1212,419,Hardware-level proportional compute estimate,Modeled from datacenter regional emissions,B2025-Q1-EXP-4
7,GPT-4,C2,Code API/JSON,0.0015,0.9,989,419,Hardware-level proportional compute estimate,Estimated using carbon intensity tables,B2025-Q1-EXP-1
8,Grok-1.5,P2,Physics Mechanics,0.00162,0.7,1559,419,Category-adjusted FLOPs approximation,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-6
9,Claude 3,C4,Code LeetCode Easy,0.0011,0.5715,866,625,Category-adjusted FLOPs approximation,Modeled from datacenter regional emissions,B2025-Q1-EXP-10
10,Claude 3,C3,Code DS/Algo,0.001,0.3982,481,240,eco2AI-based regional factor estimation,Based on eco2AI methodology,B2025-Q1-EXP-12
11,Grok-1.5,M1,Math Basic,0.00128,0.729,1675,419,Category-adjusted FLOPs approximation,Based on eco2AI methodology,B2025-Q1-EXP-11
12,Grok-1.5,M4,Math Advanced,0.0026,1.5218,200,625,Estimated via token-energy scaling,Based on eco2AI methodology,B2025-Q1-EXP-4
13,GPT-4,R2,Reasoning Logical,0.00096,0.43,1348,419,Estimated via token-energy scaling,Modeled from datacenter regional emissions,B2025-Q1-EXP-5
14,GPT-4,M4,Math Advanced,0.0016686,0.726,136,625,Hardware-level proportional compute estimate,Derived using MLCO2 factors (Lacoste et al.),B2025-Q1-EXP-11
